"","geneID","FLM-ERR225783","iL3-ERR225784","PF-ERR299168","PF-ERR299169","PF-ERR299170","FLF-ERR299171","FLF-ERR299172","FLF-ERR299173","PF-ERR299174","PF-ERR299175","PF-ERR299176","FLF-ERR299177","FLF-ERR299178","FLF-ERR299179"
"16","SRAE_0000048000",0.277012019332845,0,0,0,0,0,0.0324389396337515,0,0,0,0,0.0485178095429424,0.032326008201586,0.0601432781959979
"17","SRAE_0000048400",0,0,0.0887893634253317,0,0.066335286607449,0,0,0.104323647783093,0.0593606775646035,0,0.0998378631857046,0,0,0.0523419092932604
"18","SRAE_0000048500",0,0,0.0295782617228063,0,0,0,0.0287752966148425,0,0.0889780778793107,0,0.0333076295146208,0,0.0288464128194136,0.0522393716924688
"19","SRAE_0000048800",0,0,0.0581253391750161,0,0.0333811002010559,0.0464073906867189,0.0275482527508341,0,0.0873408623459112,0.0550905954478652,0.0328029231289704,0,0,0
"20","SRAE_0000049000",0.338131933700231,0,0.0601573482660465,0,0.0337650043565958,0.09277139248104,0.146294656167868,0,0.0603219790598395,0,0.0677574148023712,0,0,0
"21","SRAE_0000049100",0,0.139123667379125,0,0,0,0,0.0359180855725195,0,0,0,0,0,0,0
"22","SRAE_0000049200",0,0,0,0,0.066508033357703,0,0,0,0,0.0504866098054315,0,0,0,0
"23","SRAE_0000049400",0,0,0.059328281233608,0.0503000952182651,0.0665724800785794,0.0456862146107558,0.0577273143842295,0,0.0297470725783133,0.0504624667807833,0.0744630913451936,0.0458075181786336,0.0578636832521151,0
"24","SRAE_0000049500",0,0,0,0,0,0,0,0,0,0.0504164034537918,0,0,0,0
"25","SRAE_0000049600",0,0,0,0,0,0,0.0286179917737195,0,0,0.0499391788568517,0.0338784535545299,0,0,0
"26","SRAE_0000049700",0,0,0,0,0.033267542030882,0,0,0,0,0,0.033385020823979,0,0,0.0522211758743818
"27","SRAE_0000050000",0,0,0.0592404675589269,0,0.0332077204218491,0,0.11532520574991,0.260950142453157,0.0297032106634741,0,0.0333234125669274,0.0456439697218913,0.115564505125942,0.261817967241735
"28","SRAE_0000050100",0,0,0.0590864721860307,0.0516063797962145,0.10274808833326,0.0863846527125247,0.0284471588788153,0,0.0583721189120695,0.261899765845435,0,0,0,0
"29","SRAE_0000050200",0,0,0,0,0,0,0,0,0,0.0513911094909628,0.0327883624173705,0,0,0
"30","SRAE_0000050300",0,0,0.0292888592458378,0,0.0326477735099553,0,0.0288184271872727,0,0.0297007829334736,0,0.0658791136956967,0,0.0579241598939589,0.10812898737068
"31","SRAE_0000050400",0,0,0.177661421742356,0.0502713486732333,0.0332858836663726,0.0458820379609701,0.0287668761511346,0.0520618436814767,0.148385145259587,0.100837363221887,0.10021321333701,0.0459986200650736,0.0288633900456587,0.0521914838274642
"32","SRAE_0000050900",0,0.35315467589106,0.0886313086789768,0,0.0664072016049826,0.0572100793603217,0,0.103907875713325,0.0888352840505585,0.0502999103275449,0,0.0917271962833558,0.0309387321975792,0.052087145531967
"33","SRAE_0000051000",0.101449705495095,0.298206739085959,0,0,0,0,0,0,0,0,0,0,0,0.0514880096095206
"34","SRAE_0000051200",0,0,0.0285342200789226,0.159372605696603,0.034022476584122,0.0927893177846593,0,0,0.0586934151676004,0.053844517516223,0.098075930888418,0.0941475547120228,0.026191051013429,0
"35","SRAE_0000051300",0,0,0,0,0,0.0472828738526589,0.0278203828406556,0.0529951286517674,0.0299660097504518,0,0,0,0.0271202412986283,0.0541606823117647
"36","SRAE_0000051450",0,0,0,0,0,0,0,0.0511849901213533,0,0,0,0,0,0.10589387246747
"37","SRAE_0000051500",0,0,0.0294916537049321,0,0,0,0.0288364283773737,0,0,0,0,0,0,0
"38","SRAE_0000051600",0,0,0,0,0.034069065931402,0.0432973324821194,0,0.0540195682796814,0,0,0,0,0,0
"39","SRAE_0000051700",0,0,0.0596164849264017,0,0.066658069364573,0.13094834415123,0.0291190660213357,0,0.0301647266728212,0.0510894334172509,0.0669452035656496,0,0,0
