"","geneID","flL1L2-ERR1466827","flL1L2-ERR1466828","FLF-ERR1466829","FLF-ERR1466830","FLM-ERR1466831","FLM-ERR1466832","iL3-ERR1466833","iL3-ERR1466834","PF-ERR1466835","pL1L2-ERR1466836"
"1983","SPAL_0001366900",0,0.188320011124238,0,0,0,0,0,0.259411963337999,0.0869954375981218,0
"1984","SPAL_0001367600",0,0.15185201988057,0.158415026499131,0.0307228768157851,0.229682219317457,0.141429938734171,0,0.0259682865115364,0.122803621490896,0.132489041672764
"1985","SPAL_0001367700",0,0.0270241729250296,0.199308517486965,0.0807211641611424,0.033786206760679,0,0,0.0517572305664187,0,0
"1986","SPAL_0001367800",0,0.0808835566866017,0,0,0,0.0564810460544027,0,0,0,0
"1987","SPAL_0001368100",0,0.026921933515333,0.0397045294333616,0.0268336455775757,0,0,0.0647599316093,0,0.040881003901728,0
"1988","SPAL_0001368200",0,0,0,0,0.0339546208329119,0,0,0.0259207567548255,0,0
"1989","SPAL_0001368600",0,0,0,0,0,0,0,0,0,0
"1990","SPAL_0001368700",0,0,0,0,0.0677972765293097,0,0,0.0519270349006535,0,0
"1991","SPAL_0001368800",0.0479665099031046,0.175383798653833,0.118618958536451,0,0,0,0.215674778454112,0.049567251896921,0.0620714939639198,0
"1992","SPAL_0001369100",0,0.1079511722842,0.119372487563939,0.00128238273793939,0.0624262392767311,0.0281608731257318,0.25964172131288,0.155348424490573,0.0819859677673286,0
"1993","SPAL_0001369300",0,0,0.0396543130948836,0.0269969609516319,0.0337738732848625,0,0.0647131904636292,0,0,0
"1994","SPAL_0001369400",0,0,0,0.0271231502670725,0,0,0,0.0260526158543199,0,0
"1995","SPAL_0001369500",0,0.0271388441992208,0,0,0,0,0,0.10293386316223,0,0
"1996","SPAL_0001369600",0,0.0845100167114449,0.0406270290770034,0,0.0331321125201484,0.0275804561755626,0,0.0505728475966552,0.0409934504957429,0
"1997","SPAL_0001369700",0,0.0831908374029332,0.0810935075392897,0.184826521138117,0,0.0550364338417306,0.0653372710672216,0.152131933966103,0,0.0669824137682974
"1998","SPAL_0001369800",0,0,0,0,0.0338298124994595,0,0,0,0,0
"1999","SPAL_0001369900",0,0.0275208055941151,0.0576185759216127,0.0457226132307395,0,0,0,0,0,0
"2000","SPAL_0001370550",0.0249424653217815,0.00819817506364611,0,0,0.0234798753713112,0.0180394128047564,0,0,0,0
"2001","SPAL_0001373900",0.0993141342108155,0.0258879232372729,0,0,0,0,0,0,0,0
"2002","SPAL_0001374600",0,0.0276894550069437,0,0,0,0.0557094981207675,0,0.0513771593895589,0,0
"2003","SPAL_0001375000",0.0807104824890342,0,0,0,0,0,0.387723124162752,0.159853249627515,0,0
"2004","SPAL_0001390000",0,0,0,0.0271608072642457,0,0,0,0,0,0
"2005","SPAL_0001390200",0,0,0.0803931900107678,0,0,0.0278687930472416,0,0,0,0
"2006","SPAL_0001390600",0.146338820346543,0,0.0400526763501968,0,0,0,0,0.0252745112421455,0.652071018223017,0
"2007","SPAL_0001391000",0,0,0,0,0,0,0.0644799997736948,0,0,0
