"","L1L2-ERR1466827","L1L2-ERR1466828","FLF-ERR1466829","FLF-ERR1466830","FLM-ERR1466831","FLM-ERR1466832","iL3-ERR1466833","iL3-ERR1466834","PF-ERR1466835","PF-ERR1466836"
"SPAL_0000292400",1.87776007383703,2.68177729219698,3.83135133434266,3.99359213532189,2.69742142046103,3.43943750021232,3.34002183442244,3.35591609313709,4.3476941648752,1.8700043505703
"SPAL_0000292500",5.16406991777194,6.10570187272101,6.4781720319085,6.74049110362334,6.63904789985761,7.26420449193955,7.1704299763286,6.75334687030766,6.50068191381982,5.19470565039088
"SPAL_0000292600",6.49866739981047,6.91469026309648,9.72493846505493,10.2923789452171,7.68107440710187,8.46877428308506,5.40372479503536,5.53246615145832,10.426677746916,6.15078200329769
"SPAL_0000292700",5.98037038482165,5.28686588773283,6.81471036638695,7.28421494128125,5.15740551795058,5.17178729126604,5.37222493769947,5.26763458591424,6.38572085576111,6.2482655902016
"SPAL_0000292800",0.940952569825177,2.04704459091703,0.371488043509093,2.21215041348773,-1.64346883269863,-0.426301336493382,-1.45674792625148,-1.06469856733289,2.10856008745579,0.902925468403278
"SPAL_0000292900",10.4708527938836,9.53063666987654,10.0955805135927,9.02071371616964,9.64524655150485,8.26809745082473,6.26106727615841,4.88664269090777,9.76142940860524,10.7627682977708
"SPAL_0000293000",7.19980171783055,5.89576822935583,8.6563203491375,8.7476111104307,6.73744331427182,6.80470304238059,8.65579722463173,9.01124909120009,8.21938566522639,7.19658766260691
"SPAL_0000293100",2.18979213141024,1.39045840423099,2.73449678377604,3.4211778756216,1.69760802503639,1.30688978911191,4.43634941412458,4.18138309145983,2.55663076607293,2.19182968134781
"SPAL_0000293200",8.78777435966576,8.20793592609603,8.6983560124262,8.68499869031922,8.55743400610087,8.75538093351786,9.52731923662725,9.38134229577435,8.1533403718872,8.19103322499921
"SPAL_0000293300",4.03839720346242,2.93331487985782,2.47838240784627,1.75377733610135,3.24105730785141,3.0256225510033,4.6015813599305,4.86741515522332,1.52087715567264,4.0502801756486
"SPAL_0000293400",4.33947485230638,4.19165032171365,5.68999368968362,5.77141790635746,5.50449464627454,5.79775246945943,5.33501014140979,5.30152020856473,5.95259707584911,4.51267507478928
"SPAL_0000293500",3.81165241864403,2.50742371324741,1.78696975245613,0.931217941684286,2.52970864687237,1.68447533083913,3.31031162156405,3.71003018121667,-0.124389408725117,3.85303441805151
"SPAL_0000293600",5.99543077415955,6.14279929890519,7.39467222321959,8.02592360465191,6.31034765639367,6.76747022384349,6.76343505604332,7.17989581469102,7.88041010448558,6.35089318318924
"SPAL_0000293700",5.25391947777243,4.54045988356448,4.37806917739422,4.6154694174464,4.29962397179969,4.06284258640514,6.27735173106186,6.3831808389907,3.72178774052569,4.97824436948563
"SPAL_0000293800",1.77597060356547,1.91420150655551,0.659608199002667,1.21325487812512,0.924114987060971,0.611185941706881,3.72200883384406,4.29934806820077,0.661272641908563,2.44438456127021
"SPAL_0000293900",3.66923697698677,3.7396300610317,5.57612867358606,6.12495080088857,4.49450930820942,4.74999100632033,4.70378388640202,4.55151746426806,6.2309326591246,3.63866313850553
"SPAL_0000294000",1.28995638347332,3.06926202748643,4.79935632081581,5.08562783122117,4.01933509856868,4.25387580903107,1.95907990679047,2.49292055842859,4.75494063577838,1.56529263293508
"SPAL_0000294100",4.20089447454698,4.03525575854724,5.00916107307071,5.65560907776463,4.39774188848919,4.63304827534592,3.01948472812335,3.71956979654398,4.85292837361282,4.33462313880738
"SPAL_0000294200",0.64203124338856,2.36115641199267,4.94548364592956,5.24834248031421,2.89539693933567,3.91759453876887,1.34974329096109,1.62847262641521,5.67978706482907,1.52740432199692
"SPAL_0000294300",5.1716343537345,4.54958605198803,0.231121940501155,0.472139445626413,1.3676900620125,-0.707786746717121,-1.74669316797657,-1.06398871119769,-0.187557360934349,4.84771030945292
"SPAL_0000294400",7.23848838843601,7.22126271330946,7.66738768982689,7.66967285027681,7.36981572420332,7.76035103000033,2.94371654273998,2.8449793154628,7.35476199966882,6.36577800319625
"SPAL_0000294500",4.8163642036498,5.50354849731501,6.1104242738986,6.69378357316111,6.24673181001486,7.09864335222952,5.5764069194354,5.85502958079778,6.06734248602907,5.1409028027103
"SPAL_0000294600",1.68462848967713,-0.740811140797552,3.08560508016986,4.59520246770931,-0.689443930066822,2.11252918814274,-4.91293732283212,-6.42847568884183,-0.0643307039462872,1.65450246279837
