"","geneID","FLF-DRR106346","FLF-DRR106347","FLF-DRR106348","FLF-DRR106349","FLF-DRR106350","FLF-DRR106351","PF-DRR106352","PF-DRR106353","PF-DRR106354","PF-DRR106355","PF-DRR106356","PF-DRR106357"
"1248","SVE_0598300",0,0,0,0,0.182816659402059,0.0888269366540393,0.0622921035332182,0.0611653229454849,0,0,0.0739018938124024,0
"1249","SVE_0598400",0,0,0,0,0,0,0,0.0632609474122252,0.157919063316811,0.077231474210916,0,0
"1250","SVE_0599300",0.065117616727977,0.255107040173964,0,0,0,0,0,0,0,0,0,0
"1251","SVE_0599400",0.064681545229575,0.190138243153219,0,0,0,0,0.0641162382641498,0.0629998853885096,0.235845415280213,0.0768955852943501,0.148449820753425,0.218699469477646
"1252","SVE_0600700",0.129380409614083,0.11347649258795,0,0,0,0,0.429377843051364,0.189060285285828,0.121766715926175,0.153784634472524,0.131159384843532,0.0933352982412303
"1253","SVE_0603000",0.0643102782135846,0.0631701500905716,0.124460694341659,0,0.183229038870144,0,0,0,0,0,0,0
"1254","SVE_0603100",0,0,0,0,0,0,0,0,0,0,0,0
"1255","SVE_0603600",0,0,0,0,0.0884733412960074,0.0863964791582955,0.190569946834767,0.124925832760815,0.235848219192066,0,0.0750373912558444,0
"1256","SVE_0603700",0,0,0,0,0,0,0.0637742296512064,0.234098916677343,0.549194725322735,0.23018662747316,0.297155284778155,0.145898413692835
"1257","SVE_0603800",0.0651796313458695,0,0,0,0,0,0,0,0,0,0,0
"1258","SVE_0603900",0,0,0,0,0,0,0,0,0,0,0,0.0712271423996416
"1259","SVE_0604000",0,0,0,0,0,0,0.188880591225776,0.372093708793303,0.23444146720804,0.306112890575526,0.375461228795359,0.521093756120315
"1260","SVE_0604200",0,0,0,0,0,0,0,0,0.153278826401087,0,0.0740320798623001,0
"1261","SVE_0604300",0,0,0,0,0,0,0.000442180821804687,0,0,6.00653914002449e-05,0,0
"1262","SVE_0604400",0.24335985388256,0.440866393258405,0.12149281974387,0.059496121925443,0.0906870104083097,0.0887387274933696,0.126492968875439,0.310907335496033,0.22157891562908,0.0769549927479936,0.301210728530915,0.0745454362075985
