"","geneID","L1-DRR029433","L1-DRR029434","iL3-DRR029435","iL3-DRR029436","L3_lung-DRR029437","L3_lung-DRR029438","Young_FLF-DRR029439","Young_FLF-DRR029440","FLF-DRR029441","FLF-DRR029442","iL3a_1d-DRR029443","iL3a_5d-DRR029444","Egg-DRR029445","Egg-DRR029282","FLF-DRR106346","FLF-DRR106347","FLF-DRR106348","FLF-DRR106349","FLF-DRR106350","FLF-DRR106351","PF-DRR106352","PF-DRR106353","PF-DRR106354","PF-DRR106355","PF-DRR106356","PF-DRR106357"
"101","SVE_0391500",0,0,0.0260160043975821,0,0.0526409679897602,0.0573579918123431,0,0,0.228992235356086,0,0,0,0,0,0,0,0,0,0,0.214343277756326,0.0756437751887312,0,0,0,0,0.0888497756898769
"102","SVE_0391600",0,0,0.105895630235249,0,0,0,0.0302688395736624,0,0.0233817714057613,0,0.0519068730127173,0.0301339540570831,0,0,0.0771706734028456,0.0755488694785241,0,0,0,0.105023809818689,0.0745320233331914,0,0,0,0,0
"103","SVE_0392100",0.0548613380684286,0,0,0,0.177686498009267,0.265096270681426,0,0.264186403980147,0,0.0526053748095525,0.0572943847417408,0.0331030887966729,0,0,0,0,0,0,0,0,0,0.0842544301587262,0,0,0,0
"104","SVE_0392200",0.0562373879432918,0,0,0,0.0907720306190236,0,0,0,0.053244808346691,0.051062273208807,0.0294392661373953,0.239058580081802,0,0,0,0,0,0,0,0,0.0798651578504858,0,0,0,0,0
"105","SVE_0392400",0,0,0,0.0498509078159642,0,0,0.0657999029854159,0,0.126526141741711,0,0.083902708948064,0,0,0,0,0,0,0,0,0,0,0.0745348942501302,0,0.0918690832740152,0,0
"106","SVE_0395300",0.0291301972501421,0,0.124295769522111,0,0,0,0,0,0,0,0.0449117290200308,0.106096451068142,0,0.0378747023849806,0,0,0,0,0,0,0,0,0,0,0,0
"107","SVE_0395400",0.0647492790509544,0,0.0345968866757661,0.0564574157671368,0.106120526416697,0,0.236345177227405,0,0.0285806824128814,0,0.0296580249030607,0,0,0,0,0.128317463082887,0,0,0.0885223971010684,0,0.0702678176944733,0,0,0,0,0
"108","SVE_0395800",0.0519584911523509,0,0.0357400953715664,0,0.111979054948792,0,0.0956310104688707,0,0.0861328519114181,0,0.0272043307931637,0.031579805429371,0,0,0,0.0757363230214795,0,0,0,0,0.0753173083710428,0.0740230837519339,0,0,0,0.0884052257605717
"109","SVE_0401100",0,0,0,0,0,0.0712934926068654,0.0316081752312813,0.115809785698695,0.0982462130521551,0.113730977259495,0.0274521983356027,0,0,0,0,0.0784754781301811,0,0,0,0,0,0,0,0,0,0
"110","SVE_0448700",0,0,0,0,0,0,0,0.0532899649623743,0.0747920338947011,0,0.0540558410421829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907073680800693,0
"111","SVE_0448800",0,0,0,0,0,0.0580936594986532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873210813630528,0,0,0
"112","SVE_0484200",0.0588225535138225,0,0.0312836046740069,0,0.0626957997762232,0,0.183515552424568,0.106151248518438,0,0.0536616498923253,0.0306230798120481,0.0709660077388278,0,0.037928084154049,0,0,0,0,0,0,0,0,0,0,0,0
"113","SVE_0518900",0,0,0,0,0.0290607259870835,0.062829076118737,0.135302349611714,0.0980357226870851,0,0,0.0283545687431453,0,0.0361217924827843,0,0,0,0,0,0.0978618053644026,0.191111873433674,0,0,0,0.0853461447400615,0,0
"114","SVE_0596400",0,0,0,0,0.0319097922863332,0,0,0,0.0275362239254328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","SVE_0597800",0.0260281634173289,0,0,0,0.0281124178102608,0.0609253746222474,0.0316389376120764,0,0.244695262826638,0,0.0816983341329783,0,0,0.0338896635217861,0,0,0,0,0,0,0,0,0.0989201557705725,0.0971261883061527,0,0.0944712758132095
"116","SVE_0597900",0,0,0.0267465641999604,0,0.0270434318337977,0,0.0912659168348828,0,0.141157397989187,0,0.0524554574198471,0.0303608127951494,0,0,0,0,0,0,0,0,0.0779512161611959,0.229683884871875,0,0.0941579495733529,0.0921449955332749,0
"117","SVE_0598000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0584203834655391,0,0,0.0697920310883404,0
"118","SVE_0598100",0.0487009382735863,0,0.0259757409207455,0,0.0262877224955875,0,0,0,0.0456201345883035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912604299368183,0.0896224733188084,0.088620726296543
