"","L1L2-ERR1466827","L1L2-ERR1466828","FLF-ERR1466829","FLF-ERR1466830","FLM-ERR1466831","FLM-ERR1466832","iL3-ERR1466833","iL3-ERR1466834","PF-ERR1466835","PF-ERR1466836"
"SPAL_0001358800",4.01263609571582,4.26795007435492,4.34751559035842,5.33178195103611,4.13718280279765,4.54688169906258,4.65448252100301,4.27744567389558,4.87801161645318,3.79876138415884
"SPAL_0001358900",2.22204157612219,1.93839106893615,2.55597565642947,1.96731022489098,3.27521510358814,2.6914228354012,3.94957798034943,4.14893569669877,2.30841891946673,2.03156519314236
"SPAL_0001359000",2.59750935124226,1.94641725204602,1.7109259111893,1.39734974812078,1.35037033507217,1.48212390749376,3.29048653891365,3.55791401217944,-0.104330740786036,2.11779652594549
"SPAL_0001359100",4.2697351120602,4.7194520367236,5.96643744633983,6.5625273803854,4.82269304141916,5.20899503625335,5.00109546093949,5.76405697117493,6.20602410426634,4.84233223642131
"SPAL_0001359200",3.78026651386333,4.60871391934732,5.14964482746248,5.79957143750041,5.58206996422853,6.00546739499201,4.60346385189352,4.66536904546854,5.81233783901075,4.10834771870484
"SPAL_0001359300",5.9613501590865,6.18356095249187,5.73624920158467,6.10081032344155,7.16670913051638,7.68040147135186,4.97981368097069,4.76040308607473,5.55273699085366,5.55252497284326
"SPAL_0001359400",4.91245834153238,3.87128957774304,6.41192560931832,6.59288185191112,4.38086542155442,4.60826497370497,2.04248179605202,1.79358073458801,6.17423622131791,4.96361138468232
"SPAL_0001359500",6.13188813967244,4.67863131910775,5.9663450906841,6.12330389203459,4.66589951380704,4.41673494265715,3.78760378031163,4.38933102188927,5.15841563828756,5.89733796394506
"SPAL_0001359600",1.05292872107306,5.53007005944962,1.30218121570103,1.25308380694655,6.7504711335525,7.40752539477286,-2.29475949097832,-1.51434705295499,-0.789454515564808,-1.62042253648863
"SPAL_0001359700",2.75522872553467,8.02619679059218,5.2941053550289,4.97682679280581,10.8489515697833,11.4201277233296,-0.580840395548951,1.48074926509904,0.707251945665603,1.4875857754341
"SPAL_0001359800",7.1970190770928,6.41687668767334,7.49879144731946,7.92007300320369,5.80057879005733,6.10358807129472,6.33967908831282,6.65418380188928,7.15888087329028,6.99713767812499
"SPAL_0001359900",7.02725028913635,6.84065775547344,5.57949336784325,4.69901709436432,5.79544344967103,4.98579750274278,7.08789920862373,7.6833923741315,4.12468966510607,6.81390088372143
"SPAL_0001360000",0.638747632170756,0.539121182320106,-1.88789172959588,-1.57890250338567,-0.653393488437982,-1.8927317020406,2.19445004207236,3.39067355701464,-2.13820737448837,1.41763899873962
"SPAL_0001360100",1.53140324757321,0.960126155865472,0.146804722135033,0.236125024161738,-0.215052118234486,-0.820139361704696,0.895966461425483,2.01945830483486,-0.523740232593144,1.31158291762748
"SPAL_0001360200",5.5839116906972,5.39620141955567,6.87447398446687,7.24163252925525,5.83839367346805,6.24593891352696,7.45381201203559,7.6895653392857,6.82434266047317,5.63099346050153
"SPAL_0001360300",5.25140376173095,4.73524595802501,5.94706296572815,6.25518109533957,5.24588443243339,5.17208759531357,7.84852119049497,7.63165225731419,6.13601791723169,5.21628579816501
"SPAL_0001360400",-3.01858926491076,1.45577953743761,0.984709430236948,0.333959941534823,-0.497321320858359,-1.2257622177055,-3.81529436332805,-2.42736020224734,-1.2372796458198,-3.81529436332805
"SPAL_0001360500",5.35550791342227,5.30000270397812,3.40183874184504,3.34095492531678,3.30615053655156,2.778309606218,4.0115220475924,3.90607697726124,2.5485549335655,5.42451848682743
"SPAL_0001360600",1.50269644253938,4.70982863074945,2.56548031107626,2.52407361554153,7.22056694891541,7.57973563013823,0.480260120762212,1.39936323034575,3.05407822946225,1.80411148721046
"SPAL_0001360700",6.7979134479162,7.06657389689592,7.49276431817222,7.17130083903787,7.47583592085146,7.10769021949015,7.02789691965778,7.23500934765415,6.73571723972216,7.07752675694017
"SPAL_0001360800",5.46097340650922,6.90801753817122,7.38488546922139,7.43457021413388,5.91755093865938,5.5364295454164,6.0962982007645,5.8030437101541,7.59441041355148,7.27891244044842
"SPAL_0001360900",3.69193211539625,4.68308766747682,5.11221449600828,6.07918529159792,5.10188745019867,5.23663378420302,5.49966963117931,5.7900770458152,5.57786968640336,4.12441730300375
"SPAL_0001361000",6.41328909512761,6.6626229206939,8.37751200113896,8.97125657515589,7.44291008007262,7.84034040844813,6.70236257779125,6.95855086304396,8.21960930521882,6.80092175670168
"SPAL_0001361100",2.93836564621425,1.77015214378481,-1.68244809683839,-0.520074430738809,0.303864802693013,-0.0665392060245912,4.52256057632879,5.30488341158224,3.04849330845805,2.96174110703721
"SPAL_0001361200",2.99988049724145,2.2905415093225,5.5352389872963,5.88484096610658,2.80029299411335,3.51450386215814,5.8885903018058,6.79290178316449,5.04306094259215,2.95152854082344
"SPAL_0001361300",2.92669901208152,4.83454073240456,4.93096469213693,5.64799952554707,3.39744944857604,3.81223103223889,5.45750260870331,5.39847245556723,4.80423665940095,4.07177001732576
"SPAL_0001361400",5.51335611353339,5.59413858916952,4.77512222543199,3.93697353606226,5.48834376421873,5.3836365957112,8.26641324888795,7.39230355986966,3.44410857417309,5.37804946509999
"SPAL_0001361500",1.12255601212101,2.40637232226305,2.973466397039,3.88381724715767,2.23176317451813,2.52864565719851,1.09002919987488,1.1290016392599,1.44666492669406,1.38566421020885
"SPAL_0001361550",-0.762023974880607,-1.23516518313184,-1.87764230684354,0.429148044095614,-1.95068634390336,-1.73857097966888,-3.81529436332805,-2.61281458509617,-0.442481181201969,-0.367779509997711
"SPAL_0001361600",4.97491536784518,5.65156321992403,6.45537601989818,6.69019909116309,6.01916143262231,6.1280984754158,6.18022862884407,6.13309274431695,6.55415963754561,5.37132109477221
"SPAL_0001361700",3.53146386853545,3.7700129050554,5.00397983987881,5.47178575419888,4.67719011235623,4.84017443550019,4.6134075367218,5.00882836779177,5.70336215684298,3.81122735485412
"SPAL_0001361800",2.67564453711462,2.44391653502578,2.68185345865611,3.74592350480086,0.581024679570701,1.50876476053707,0.0071922344529573,0.813071097391162,1.65864959921503,2.6919404851677
"SPAL_0001361900",2.78400454347632,3.48229183580188,3.74607108044577,3.93122112126216,4.18417713039613,4.12487950180566,3.86649860644334,4.06235249157597,3.65985557501297,3.31719625234447
"SPAL_0001362000",2.36537488605759,3.24732555528765,3.48028238606119,4.03403530254651,4.24754147249235,4.0494549572575,1.73206579398601,2.48773885940982,3.8633356535881,2.84480885411351
"SPAL_0001362100",3.53166929513585,3.84026149931119,5.03078050993845,5.20740163928817,3.11900246036248,3.55448471679477,3.21580289425935,3.26169391793468,5.72270503829975,4.16285851822121
"SPAL_0001362200",4.45226266669133,3.81178453258072,4.61500946243552,5.28466974341959,3.25058545313268,3.5860249821774,4.269862969753,4.21760116025158,3.98314571114687,4.56082447907557
"SPAL_0001362300",4.15712076011517,4.17234550983947,4.83199294808571,6.03751601495652,3.82336979678497,4.72672505913956,3.68932992421452,4.0048516429397,5.37612920852038,4.07478904199334
"SPAL_0001362400",1.4604709190168,3.28213741354147,7.82066098959315,8.64701732915118,4.34181693681305,5.54503314260002,0.0961292512354572,0.779907678576533,7.61446033028923,-0.153092042629767
"SPAL_0001362500",2.99166077140575,2.33186927565809,3.36458224754031,3.840946333216,2.24535348532834,2.27349394097966,4.98753636512531,5.35937436001154,3.14605606488955,2.8418476359898
"SPAL_0001362600",3.51358626063999,3.12836959534474,4.82713799683961,5.46232687712689,3.54705170384887,4.64178429014201,2.1102031363831,2.61999112882988,5.53085390501165,4.24500118705875
"SPAL_0001362700",1.18211003682207,1.33785005948029,0.895461264547009,0.774926992140519,0.790141326271519,0.869656704483498,4.52535250947416,5.09638740956068,0.774009338632554,1.19347801514507
"SPAL_0001362800",6.18003702039101,5.95107052348433,8.21776899543145,8.82657637583672,5.40999376889983,6.49567880224924,7.6025870835284,7.79527391573962,7.77747141629898,6.45583157005019
"SPAL_0001362900",3.8265049541704,3.88214912702008,4.01616720845654,4.60823230662642,3.8047024414671,3.49362642618427,5.39567718089239,5.72368576188391,3.64616883639302,3.74117506672554
