"","FLM-ERR225783","iL3-ERR225784","PF-ERR299168","PF-ERR299169","PF-ERR299170","FLF-ERR299171","FLF-ERR299172","FLF-ERR299173","PF-ERR299174","PF-ERR299175","PF-ERR299176","FLF-ERR299177","FLF-ERR299178","FLF-ERR299179"
"SRAE_1000240100",3.4498190317961,5.6518710710223,0.300504296938338,-0.210253941287033,-0.175450782506545,1.02972601082266,0.879097849122037,0.535236656201623,-0.266521276336539,-0.295239023331134,-0.170836932196163,0.618741270519044,0.531436488935639,1.00522301351219
"SRAE_1000240200",7.04208079732014,11.2874793240665,5.43382943121579,5.28491799793517,5.26531754946048,5.95039003562655,5.91176487996885,5.93136588431891,5.38145490208287,5.33402675051889,5.15073136584793,5.98569591225727,5.9274273796435,5.95096729658618
"SRAE_1000240300",0.676108178352312,7.33937094391107,8.01583913621898,8.17810544473637,8.15925576643927,8.00338182898878,8.07407297085317,8.17766732409007,8.02132649279884,8.19563356753199,8.13221651203098,8.05120031205284,8.08095694356362,8.17839879258219
"SRAE_1000240400",2.97768399007419,4.6990137087893,3.14921574917167,3.24873962477309,3.07805914486846,3.52266196383997,3.55053342818548,3.43337145230879,3.16155294455459,3.26939305051878,3.12819475192368,3.47869964794889,3.41358793479784,3.51745731171081
"SRAE_1000240500",6.78413091320599,4.78091280869733,6.53642155752338,6.56618573409983,6.45956834238591,5.97585438735937,6.0395310158204,6.02131979380612,6.52458702135096,6.55482763204696,6.53694559220619,6.02663366850792,5.94675003637107,6.03188327981039
"SRAE_1000240600",7.1237625874388,7.19993805090435,4.89516544688896,5.04757173335656,4.86831409391665,6.87117056936497,6.57577736247075,6.45751492527722,4.90195364033655,5.05108427390863,4.86289572379301,6.86114123300842,6.56052714349754,6.46736555705201
"SRAE_1000240700",2.15824669660837,2.61133306840391,6.95335329650259,6.70479780145847,6.85442703638007,6.22812230003714,6.24563956104925,6.06258859098173,6.93221546078818,6.71803242980429,6.88074043216491,6.30709158029033,6.2575511906232,6.11797817952805
"SRAE_1000240800",2.79899677339526,5.07152046168708,6.22350869755153,5.98168433973402,6.13510225888635,7.30638821327588,7.27601783342176,7.45246434991003,6.25270715051349,6.02516624906551,6.16412260527451,7.29982710840964,7.26081972979984,7.42393676253932
"SRAE_1000240900",3.19586133595045,4.30637535167193,6.31423006578396,6.2988588136646,6.38439890755164,6.02659751900786,6.14841070897682,6.27639656288759,6.31027959678671,6.25656356987678,6.36921474943393,6.02988436991366,6.12242928296926,6.19366343157946
"SRAE_1000241000",5.53293158161461,5.5268047514319,5.61578045202516,5.51913084773666,5.55379379070438,4.80076198738097,4.71730285044233,4.89341226173669,5.5262493997425,5.54387480965371,5.55260551032139,4.76805451750859,4.81039192307749,4.86335169789634
"SRAE_1000241100",4.52259536797565,3.85700841991021,0.312508755434742,-0.510413239352207,-0.121353761652477,1.1115127756799,0.755780494698966,0.903397761161667,0.133385633335893,0.596020617399325,0.369669417194487,0.650164802275012,1.0275843930634,0.711171372812578
"SRAE_1000241200",4.32256787620765,2.79855518901452,2.72573495312158,3.03849922709185,3.23035570750416,3.20212860780947,2.99129150523185,3.1049898080391,3.01962543569682,3.17077015076835,2.99852612901088,3.21476073320351,3.08240867536792,3.25452676521953
"SRAE_1000241300",2.32858080003264,6.44168940214329,2.66123361675672,2.48387901658464,2.55211467290137,3.38278153280198,3.05697666442888,2.74721674132529,2.49628471393749,2.39145214893249,2.87358998572322,2.90809309311545,3.07705121276469,2.95679901516942
"SRAE_1000241400",-0.703185780624498,0.911675939901484,-3.15933070213092,-2.47998613085274,-3.13017481608092,-1.99864566942233,-2.35340583748738,-2.089652292938,-3.63595069680009,-2.9450549687027,-2.4577781828859,-2.59341206704408,-1.98139982150921,-2.08796498144126
"SRAE_1000241500",0.514066178329382,1.53222145336804,-1.90372434399576,-2.94933533723887,-3.13285817607401,-0.390820693298231,-0.75758369089577,-2.45862346839791,-2.51973063318547,-3.63595069680009,-2.46213155942047,-0.859072572077289,-1.15075937343402,-1.19851927775223
"SRAE_1000241600",2.80678311985603,1.97737869172554,0.100895056847972,0.717797402536436,0.362652406533162,5.08898597321149,4.85178093274549,4.93295696101953,-0.11739038394073,0.484503260996721,0.250067770492798,5.10500761992198,4.87189102070773,5.03370517352837
"SRAE_1000241700",2.36390909510841,0.497901466101755,0.22001294536947,-1.42041619534733,-0.955778508225496,1.75287549515604,1.76925389075763,1.53737485847626,0.021030872369516,-1.42146891332575,-1.26415617501276,1.79407696703743,1.8552813076931,1.83042117951477
"SRAE_1000241800",1.93047125634729,2.73641601139099,1.44506418840349,1.33857641269477,1.27952333360214,1.67533468035592,1.42626239740208,1.5933573367617,1.73615742652154,1.1907812167556,1.02290353766856,1.66124683443398,1.42983003351299,1.10886145492759
"SRAE_1000241900",5.18823660858697,5.7988762758208,5.47865923494833,5.44078391121818,5.38182164177675,4.7475089210356,4.91902475841749,4.68933496925207,5.47817127601585,5.42809698404562,5.4403724459474,4.8841756721968,4.78689527962316,4.74147436486127
"SRAE_1000242000",-0.440763770420199,5.80224811636434,4.35168809058377,4.28142630005739,4.71091924415693,5.51084335258358,5.71469361204637,5.68134530998269,4.28257197668831,4.28705267816851,4.61111782454803,5.53482822297618,5.75169537636623,5.50474815776573
"SRAE_1000242100",2.5275096979997,2.64281464065615,0.784518394289641,-1.08513892264108,-0.29188848962682,1.37913535789527,1.79308617665244,1.37882198394127,0.47352717928816,-0.695620127815992,-0.410670781724699,1.31127439644579,2.01546678724507,1.87089776287532
"SRAE_1000242200",1.56077953018752,-1.29941490240099,-1.24952863661036,-0.944474896442206,-1.52303833596652,0.447250235520575,-0.203859148802844,-1.05117746241661,-1.47338599947721,-1.24585510471091,-1.04942037535294,0.205954004145758,-0.295554698981539,-0.0979191957567526
"SRAE_1000242300",5.24665742994453,6.36268916809872,3.48643205002148,3.65739598118175,3.55436919056274,4.28861562440064,4.48226822331401,4.57245118253973,3.415888860946,3.50916638272594,3.47936784449751,4.33730768005096,4.39028799075883,4.51544577123185
"SRAE_1000242400",5.04444219547373,3.77694202497576,1.64529065420378,1.84351963837191,1.29805849185805,2.56673281825417,2.48239788840671,2.39005870391223,1.37025338961898,1.68551203312055,1.75914204456147,2.38619661433918,2.36427701461029,2.61251102876891
"SRAE_1000242500",0.299246452546046,-0.586977771345304,-1.16381896029489,-0.703744546088713,-0.436923499052793,-0.183044998000714,-0.307368638551041,-1.5630683698827,-0.959968994300396,-0.593664446871592,-0.797549449218839,-0.268780060444709,-0.445185950326103,-1.17053477744166
"SRAE_1000242600",2.53497476564506,1.07565653562809,4.53348733865495,4.41308082949577,4.39092830156996,3.95763190539246,3.93369192774872,3.73962246318639,4.54499939287287,4.47347294843287,4.42336965424551,3.86862615395329,3.83877706988457,3.79808953016141
"SRAE_1000242700",3.33644255077995,3.75666092731303,3.25847823184432,3.09189630481444,3.23597849797812,3.0298927791657,3.0050965714157,2.9672202792929,3.11818942877151,3.28528977367542,3.19874478199524,3.05068516369216,2.90130797596956,3.11934444956785
"SRAE_1000242800",0.386371447135288,6.30350133750534,-0.453411902829623,0.145018065567845,-0.481897154625255,1.3799839158484,0.934442847769558,1.37656398529273,-0.574719165615042,-0.0613218505047477,-0.019020158728972,1.06825115006296,1.08114249373266,0.919110306434016
"SRAE_1000242900",2.07907818335232,5.79788187821134,5.88385771875134,5.8594620293251,5.78377227036185,6.35569084623606,6.39140487584097,6.39673395147314,5.84413007114717,5.80222322434215,5.90581621963257,6.32651826177656,6.4025571487335,6.41681823677603
"SRAE_1000243000",4.18270961684559,6.02457165546055,0.938039148887861,1.87068164706043,1.6319346057818,3.09845056319467,3.02434640296988,3.53444410276052,1.0144199330127,1.61695492144485,1.58925525612411,3.16022386044819,3.12034710406436,3.59046699977134
"SRAE_1000243100",-3.63595069680009,1.01298416742471,-1.61101458612901,-0.588411510649536,-0.553313515225994,0.252797257321614,-0.0727255038020236,-0.0242050681710042,-0.512896771290589,-0.699573728710159,-0.35075227091799,0.204912774616338,-0.572573841008667,0.180146875231207
"SRAE_1000243200",2.345661053029,4.14504546374267,3.68859172065202,3.61336301654136,3.7436496747048,1.59930971171961,1.43304200144129,1.2297365614403,3.48762620266135,3.66282284962531,3.6634453956309,1.62456975835079,1.31236659373086,1.80771479788857
"SRAE_1000243300",5.68269458980874,2.133144862616,-1.35009280623166,-1.61796377395736,-0.694859259294676,-1.76923239556344,-0.900663717436567,-2.10168385538987,-1.34354170200593,-1.08075145275445,-1.38193113002589,-1.10390609094708,-1.83670181156443,-0.33533578311726
"SRAE_1000243400",6.13288982237342,6.94021788538447,6.96240329712981,6.96491609578834,6.93298468139086,7.10403989638294,6.78996777548504,6.95372051233112,6.92228919578647,6.9614557825498,6.90284755305019,7.00529363734738,6.7804076561771,6.88913148430663
"SRAE_1000243500",2.97084508340791,3.03305282825425,0.783649908414879,0.716674060799695,1.27664397387442,1.97335732117357,1.13378194904187,1.06680253055809,0.816443879586778,0.988009929320192,1.11268976318992,1.89771789315194,1.43877950784127,1.60886712612516
"SRAE_1000243600",7.92962542583543,0.116074372547853,0.496736693970591,-0.0606805229702655,0.325561289125708,1.121261714184,0.708266903117212,0.923826089052649,0.506961300133961,0.0810649304438035,0.402307979411435,1.33696161168207,0.758582677159741,1.10320277420445
"SRAE_1000243700",2.29845368144476,1.58788147699252,8.24651965324192,8.22269034916182,8.27438362297753,7.10916061634603,7.21412216251595,7.14045417041578,8.22747677678477,8.22629935558631,8.2558843198459,7.09180718725529,7.17670840957472,7.16587325728593
"SRAE_1000243800",7.55498235408777,5.8528883949181,5.06788919631859,5.00505135214019,4.99774390746108,4.64941024493561,4.59169846882545,4.48472466127082,5.0977679288977,5.01035609609614,4.97456106995151,4.64661967416642,4.61755880908879,4.57839218117187
"SRAE_1000243900",7.56972340835721,5.91060724226151,5.28360965063072,5.31502090618785,5.27157671677681,4.29474451181551,4.40210655763665,4.25773040946324,5.39903042149647,5.18036564120587,5.12252502520802,4.17337879566325,4.3512052163019,4.253530261033
"SRAE_1000244000",0.956839424392604,5.88713614081046,2.21861158656785,2.49603672149002,2.33956214941838,3.09602652618306,3.18670474240695,2.91927085133798,2.34508890676632,2.63688452503204,2.51527841882126,2.92477710007027,3.14248913411503,3.07244014767891
"SRAE_1000244100",5.42055807229446,7.05442717469423,4.19948146840589,4.46781021221228,4.54339035593839,5.18857062021359,5.08586912573969,5.18001951215377,4.18744651763578,4.51359616370293,4.56700304645597,5.14217284929758,5.06388078658542,5.33729757503869
"SRAE_1000244200",2.87006175791844,4.09792578964226,5.00602895412744,4.75947929613992,4.8767126612706,4.67679650183254,4.66682662942132,4.68306885654015,4.9731317014537,4.84747809522758,4.91873432301507,4.67302063871981,4.65792108319784,4.67798657962412
"SRAE_1000244300",5.1653075083567,6.1479569686918,6.45487818588407,6.15312235945259,6.40378979023818,5.51605532876394,5.40152656810555,5.41419594381391,6.50068342356029,6.22858718283782,6.38545387328579,5.52928334771606,5.44032429517006,5.33451645852235
"SRAE_1000244400",7.40827921110989,8.01113968418195,7.52637473406124,7.44256357759009,7.46949485903367,6.67890618046471,6.53909537770073,6.54717676809425,7.53249334427387,7.4111115746966,7.46350132082501,6.62792176276398,6.54023738854938,6.60759282454496
"SRAE_1000244500",4.9566509325534,8.39410919182984,7.57157896738036,7.60246368559751,7.61349497494702,7.61156719540579,7.73030024489361,7.68983801314091,7.60211912257517,7.61035160707173,7.64408954266527,7.59865413834387,7.7747514624968,7.67016274404157
"SRAE_1000244600",5.57359861448198,4.34463211633625,5.08967032191698,4.7866330150489,4.83525914181686,4.54659086456546,4.66404593783378,4.68360883721255,5.06444721595031,4.8285065167625,4.89016616965386,4.60620351154019,4.62695185991555,4.50860180519661
"SRAE_1000244700",3.49499352415579,6.00416059315508,3.5907850378268,3.84599982660475,3.68056431313648,3.54614062294181,3.75318875945685,3.76026632215041,3.58757074409048,3.99432210704405,3.75551327094596,3.63345979893927,3.83071623262447,3.74408425114918
"SRAE_1000244800",-3.63595069680009,5.94127910766179,4.94320439174046,5.4646220341192,5.12157398824164,5.87803988626574,5.47976192863315,5.58261767461222,4.94909090628069,5.38479580900108,5.15816761484829,5.79823350351202,5.45932630834647,5.5818188322285
"SRAE_1000244900",-1.18197520034925,6.19306343953087,0.836486943635065,1.05992540059828,1.08610014818547,1.57752931873715,1.32697939720951,1.72655597562393,1.1577433255069,1.15680176684851,0.816064764954877,1.58260215336972,1.39500784911907,1.83213438702139
"SRAE_1000245000",7.45253302798533,6.09632835815692,4.40904567087467,4.13159785944049,4.08091854238531,4.2419131892268,4.22485025719547,4.23241802800829,4.33675820293571,4.17438519602497,4.19067685075905,4.02662666311312,4.28192215777847,4.27502351640282
"SRAE_1000245100",3.11964241252578,3.0501926360836,-1.23857870702801,-1.234218575427,-0.869356983434682,-0.024960912429511,0.403766269491615,0.0401620431132565,-1.32708187485475,-0.932924281026347,-0.76949021928456,0.475978711283175,0.601243707095439,-0.0337019025271114
"SRAE_1000245200",3.44982054654257,6.77226952716273,7.26001748039126,7.63153773806509,7.54255232485038,6.65799238277221,6.88502159273832,6.79072693305732,7.26864114794538,7.57644975321839,7.51902998083921,6.66376968762762,6.87303242653113,6.75182979476123
"SRAE_1000245300",5.50313858709191,3.92832025468002,1.15321196093396,0.537245950818681,1.08762345878779,2.2158113804735,0.553854678092019,1.29779405036659,0.943843296006474,0.955622323523088,0.998385645019134,2.13929510270889,0.924203740652293,0.927440317420892
"SRAE_1000245400",2.03157550888952,7.71183022697265,3.17847314707897,3.31691203325105,3.37887487956969,3.97264108538654,3.92233503473002,4.09322141565647,3.22064113121363,3.46381699741159,3.26256112942442,4.17895878743578,4.00751908594064,4.1841397448075
"SRAE_1000245500",3.22686433638247,5.69217963828507,4.02688855405793,4.14246091608083,4.04509243435321,4.37925976610423,4.36206750061902,4.26378732985546,4.21187139249004,4.19199251643136,4.0502337033175,4.27679946198322,4.35131213960237,4.46386417107411
"SRAE_1000245600",4.76061559827919,9.09651132183409,10.5328235688743,10.4778872390969,10.5283861671204,10.3812317894513,10.4967586503115,10.4186176396623,10.5231588966838,10.4590008615381,10.5307903867929,10.3882094919347,10.4877181577081,10.4161993983641
"SRAE_1000245700",-1.48178208326928,-1.65548385483646,0.727251906000685,1.55182101318408,1.23261203720456,-0.497074901538332,0.178970816956364,-0.331730138151309,0.623187046371214,1.59019380871077,0.683411864986129,-0.775850600528378,0.0945256242278895,0.373771676165469
"SRAE_1000245800",12.5525029260456,10.0574855542126,9.32570229224067,9.07033538805216,9.16522423315009,9.56727677828764,9.6991209348701,9.56894525804788,9.32487649718056,9.06547745964573,9.15551568592168,9.54307553133458,9.70669064239056,9.56647073369522
"SRAE_1000245900",5.10917955628337,-0.434382565745773,1.06521687360755,1.30641282355019,0.990940499686449,1.33160457046688,1.69422907551888,1.32005153125884,1.55721833295915,1.24691099583865,1.56952148690578,1.52043579895157,1.68665699153882,1.6551302584804
"SRAE_1000246000",1.79569078666241,2.0222891988716,6.19234071980278,6.10099021823728,6.14623728163678,5.25591314793794,5.19616413051659,5.30652003033678,6.1750736590077,6.03256838546299,6.1485170881629,5.19376184228988,5.22972191503413,5.16308804687662
"SRAE_1000246100",2.12745254614749,-2.01873169193377,1.10833942297661,2.04812745679334,1.67497607247013,1.85868482218298,2.16356904218456,2.34177387597317,1.07346778098342,2.04681043687789,1.67998480874036,2.06937105436583,1.9742560451949,2.26763334675492
"SRAE_1000246200",6.10434141047774,0.491226785983607,5.86154856290059,5.81888066467364,5.73028791311333,5.84374341635816,5.85965859165503,5.99423338917826,5.90088759252685,5.73662760791445,5.7426915056242,5.87657852479155,5.8548558547373,5.9066312186296
"SRAE_1000246300",4.19409709347649,5.05461204634483,1.35680493262808,1.22001000994666,1.06327151170382,2.31946816329237,1.93983167379844,2.23968736314083,1.09619403684208,1.30690994229331,1.34121570950199,2.20899942963373,2.03688132386136,2.05894222744269
"SRAE_1000246400",11.5244875042077,1.67609395288089,-3.63595069680009,-3.63595069680009,-1.99718179956989,0.967575698583727,-3.19102744197611,-3.63595069680009,-2.79259832805929,-2.47413417941093,-3.12626922042898,0.578709917666114,-2.85203601133571,-3.63595069680009
"SRAE_1000246500",4.90595002897858,-1.66526908691077,-3.19326351334715,-2.97831492677999,-3.63595069680009,-2.68676626056358,-3.63595069680009,-3.63595069680009,-3.19218104055696,-3.63595069680009,-3.63595069680009,-3.63595069680009,-3.22139292364077,-3.63595069680009
"SRAE_1000246600",-2.90026641611622,-1.29134676154576,-1.24882055646377,-1.08624012744038,-0.956564874994176,2.86055867422059,2.40319596079129,2.32502526711225,-1.47263233803815,-0.945203248030318,-0.0690608327848301,2.87415442751852,2.34564569036477,2.42215429396546
"SRAE_1000246700",8.58363465328094,0.296774796535395,2.59993579967969,1.23970698744431,2.14860257527926,4.25592004603699,5.65451228474587,4.60852568636529,2.4038158592706,1.84323553431816,2.11536295008565,4.29703846807428,5.6541742277685,4.6424967782009
"SRAE_1000246800",6.26379528873767,-3.63595069680009,-0.168397375877387,0.0868661415012872,-0.409762315826747,0.0333607537352273,-0.341379688612023,-1.37926668651099,0.0276086697251223,-0.382710175962713,-0.689225551370607,0.097381926941875,-0.561179671905094,-0.64928831480638
