"","geneID","FLF-ERR146941","FLF-ERR146942","FLF-ERR146943","iL3a-ERR146944","iL3a-ERR146945","iL3a-ERR146946","iL3-ERR146947","iL3-ERR146948","iL3-ERR146949","pfL1-ERR146950","pfL1-ERR146951","pfL1-ERR146952","ppL1-ERR146953","ppL1-ERR146954","ppL1-ERR146955","ppL3-ERR146956","ppL3-ERR146957","ppL3-ERR146958","PF-ERR146959","PF-ERR146960","PF-ERR146961"
"593","SSTP_0001072100",0,0.0344312590736474,0,0,0.0373198089872704,0.0180639278325746,0.0221187587762064,0,0,0,0.0165499212261458,0,0,0,0,0.0235378093871763,0.0935358641353515,0.108750276812381,0,0.0732494503096685,0.0460575384682324
"594","SSTP_0001072200",0.0168819050004448,0.0344102081626783,0.0180340527873622,0.034250106781681,0,0,0,0,0.0369365490624283,0,0,0.0184727464108484,0.0253081376984888,0.0163904361130947,0.0161385629506656,0.0705313912740713,0.0700742652628487,0.13022826555788,0.09032259008598,0.0732292312518311,0.16091511617973
"595","SSTP_0001072250",0,0,0,0.0169412284976789,0,0,0,0,0,0,0,0,0,0.0163932143026799,0,0,0.0465370509251392,0.0218693498549793,0,0,0
"596","SSTP_0001072300",0.0337223768814791,0.0516448820295025,0.0540668663220791,0.139586836213648,0.115804549834777,0.129912565348231,0.110525252666384,0,0,0.21860539740392,0.314145698595419,0.207050950861908,0.0253713422193114,0.016432894940419,0.0162015470998559,0.0471013128796727,0.0468029646661221,0.0653730810612896,0,0.0488120328801861,0.0230629167361572
"597","SSTP_0001072400",0.0333827816508092,0,0.0181282668624245,0.0510879674604357,0.0182472378411173,0.0362824464176204,0.0218129604299831,0,0,0.0336257262302302,0.0329594194928649,0.0361638457419308,0,0.03356277733129,0,0,0.0237933026574768,0.0678226317162105,0,0.0242318993979112,0.0468709166882737
"598","SSTP_0001072500",0.033652569165385,0,0,0,0.0186134101945453,0,0.0220821755907951,0,0,0.067271483422799,0.1155895515234,0.0184607367437161,0,0,0,0.0471850715450189,0.0468923993762674,0.065654205770333,0.0906702862906147,0,0.0462979577843854
"599","SSTP_0001072600",0.0167322733375781,0,0.0359502974384774,0,0,0,0,0.0273961112455864,0,0,0.0164459606458307,0,0,0,0,0.0237298683400897,0.023653480314891,0,0.0911773870708081,0.0730302442316981,0.140748035537499
"600","SSTP_0001072700",0,0.0861180208023553,0.0180463584589212,0,0.0373434516484328,0.0361367339147686,0,0.0553909903607139,0.110979625170461,0.016824439506283,0.0165601879763072,0.0369755285839584,0,0,0,0.0235455368081567,0.0233924510476596,0.021751970317693,0.0904616244393886,0.219877540018041,0.230326067406792
"601","SSTP_0001072800",0.100284743701777,0.103923222008138,0.143714124954269,0.291318849779095,0.184192012273748,0.218640378600257,0.131921974130239,0.0548230631898247,0.185311081952671,0.302496637077746,0.0164308707600413,0.0366920115059576,0,0,0,0.0712088243610596,0.0472475747211403,0.0890915688032329,0,0,0.0234355031217635
"602","SSTP_0001073000",0.0843618304208218,0.0344769562125538,0.0541110994722102,0,0,0,0.154878892031794,0,0,0.303079781753104,0.049643518522886,0.0924465725863896,0,0,0.0162427492044387,0,0.0234426639741396,0,0,0,0.0231172506317658
