"","FLF-DRR106346","FLF-DRR106347","FLF-DRR106348","FLF-DRR106349","FLF-DRR106350","FLF-DRR106351","PF-DRR106352","PF-DRR106353","PF-DRR106354","PF-DRR106355","PF-DRR106356","PF-DRR106357"
"SVE_0606300",2.18257717118598,2.3671387111152,1.75851382644367,1.56250396268241,1.77839802079255,1.77022885839228,1.74939253452825,1.33931377183676,-0.326812217026155,0.886848922596275,1.56803718306029,0.925350513106617
"SVE_0606400",3.90301511874567,4.14604730938628,3.79906482128167,3.84806408093908,3.4939750358062,3.48337194288258,3.17382610404187,3.30102328021744,3.25540344595195,3.84381296056176,3.58606988802737,3.02640335481236
"SVE_0606500",0.381293485871971,0.997390692666462,1.14098281912229,1.37277722874463,0.492375696240949,0.176261870781531,-2.29222208055014,-1.23199156754256,-0.91148617379724,-1.34405147818313,-0.350193093417283,-1.96228935292032
"SVE_0606700",3.52479234233248,3.51565115856734,3.74446859890846,3.69029345333634,4.05592963431725,3.98079501889231,2.13263866846502,2.39381589518806,1.41394424989765,1.46968613247071,1.67532131191966,2.04970934522292
"SVE_0606800",1.89006807134347,2.08704513937871,1.1137865539582,1.28565740063673,-0.904385060752508,-1.40906258160917,1.33113500441302,1.00387942390371,1.61948676258579,2.03536628957148,1.04330280537477,1.01749325556386
"SVE_0606900",5.49803486613556,5.48194698090745,5.34460194446574,5.36946226236678,4.96224300112423,4.9080649711277,5.7652087986109,5.73224776097642,5.79753425355887,5.73956012275315,5.73935699667403,5.869654338795
"SVE_0607100",0.537121352695641,0.298611773232864,0.739453178899276,0.262067730784758,0.31839194765133,0.168617002891573,-0.0385974525976464,0.0392314330121439,-0.325766973835879,-0.928491342259749,-0.632007941677562,-1.38965969045356
"SVE_0607200",-1.24518833085639,-1.26747521701379,-0.368107743729159,-0.394809119235744,-0.00912634127170615,-0.111202657739943,-1.82936960047999,-1.50441497985286,0.0932419683066112,-0.114691943625031,-1.36792084831168,-1.97041184943377
"SVE_0607300",0.271907403774599,0.181730010801239,1.52962338255319,1.36989350624546,-1.59830779910622,-1.61713410703179,1.79070941070692,1.50838742956423,0.410177770337261,1.1636589040626,0.613982467434861,1.17349612103642
"SVE_0607700",-0.692203493149712,-0.967316863117859,0.36080126593809,0.421527805459431,-2.96691146837986,-2.96691146837986,0.453892075021548,0.498572934502468,0.409985035949674,0.534093043009556,0.486338087802247,1.08904707257719
"SVE_0607800",-0.702382349772266,-0.618915232834706,-2.96691146837987,-2.96691146837986,-2.96691146837986,-2.96691146837986,-1.49895598940061,0.211668744308843,-0.329742303941807,-1.35152578588376,-1.35643086579397,-0.372098637400908
"SVE_0607900",-1.63272696572703,-2.51050119514655,-2.96691146837987,-2.96691146837986,-0.0908151491655906,-0.281173976086104,0.253519484844867,0.311019550505025,-0.920789504348327,0.0721496924504213,0.220040901980492,-0.389626394200765
"SVE_0608100",3.27442456890355,3.08958593397815,3.11173026515012,3.15850113197004,3.15518212448744,3.2595571552492,1.52672331774222,1.41452818637385,1.95984405716073,1.84049422748189,1.52128507661657,1.49413995105087
"SVE_0608200",4.36180739442105,4.52170631523314,4.36319348255191,4.38523962902805,4.70553875488071,4.74763247375898,5.15421712779541,5.20595483680561,5.18533402320342,5.35770517256488,5.24139921003059,5.02195518042274
